Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
DFB-Pokal ,First Round,7/30/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,10',0:1,Right-footed shot,Shinji Kagawa,Polaco
DFB-Pokal ,First Round,7/30/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,90',0:3,Tap-in,Ivan Perisic,Polaco
Bundesliga ,3,8/20/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,CF,50',1:0,Right-footed shot,Mario Götze,Polaco
Bundesliga ,5,9/10/11,Home,Borussia Dortmund,Hertha BSC,1:2,CF,88',1:2,Header,Antônio da Silva,Polaco
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,30',1:0,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,44',2:0,Right-footed shot,Sven Bender,Polaco
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,78',4:0,Header,Mario Götze,Polaco
Champions League ,Group Stage,10/19/11,Away,Borussia Dortmund,Olympiacos Piraeus,3:1,CF,26',1:1,Right-footed shot,Mario Götze,Polaco
Bundesliga ,10,10/22/11,Home,Borussia Dortmund,1. FC Köln,5:0,CF,44',3:0,Right-footed shot,Sven Bender,Polaco
Bundesliga ,10,10/22/11,Home,Borussia Dortmund,1. FC Köln,5:0,CF,50',4:0,Right-footed shot,Kevin Großkreutz,Polaco
DFB-Pokal ,Second Round,10/25/11,Home,Borussia Dortmund,SG Dynamo Dresden,2:0,CF,30',1:0,Header,Mario Götze,Polaco
Bundesliga ,12,11/5/11,Home,Borussia Dortmund,VfL Wolfsburg,5:1,CF,66',4:1,Right-footed shot,Shinji Kagawa,Polaco
Bundesliga ,14,11/26/11,Home,Borussia Dortmund,FC Schalke 04,2:0,SS,16',1:0,Header,Marcel Schmelzer,Polaco
Bundesliga ,15,12/3/11,Away,Borussia Dortmund,Borussia Mönchengladbach,1:1,CF,40',0:1,Header,Mario Götze,Polaco
Bundesliga ,17,12/17/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,7',0:1,Right-footed shot,Shinji Kagawa,Polaco
Bundesliga ,17,12/17/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,70',1:4,Left-footed shot,Kevin Großkreutz,Polaco
Bundesliga ,18,1/22/12,Away,Borussia Dortmund,Hamburger SV,1:5,CF,37',0:2,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,18,1/22/12,Away,Borussia Dortmund,Hamburger SV,1:5,CF,83',0:5,Right-footed shot,Kevin Großkreutz,Polaco
DFB-Pokal ,Quarter-Finals,2/7/12,Away,Borussia Dortmund,Holstein Kiel,0:4,CF,11',0:1,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,23,2/26/12,Home,Borussia Dortmund,Hannover 96,3:1,CF,27',1:0,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,23,2/26/12,Home,Borussia Dortmund,Hannover 96,3:1,CF,54',2:0,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,27,3/25/12,Away,Borussia Dortmund,1. FC Köln,1:6,CF,52',1:3,Right-footed shot,Jakub Blaszczykowski,Polaco
