M2,AMBIENTES,ANTIGUEDAD,BAÑOS,LATITUD,LONGITUD,COMUNA,DOLARES
36,1,36,1,-34.58327337855722,-58.41156443129701,COMUNA 14,97000
176,5,20,2,-34.59098460084475,-58.399105161696866,COMUNA 02,368000
42,2,20,1,-34.59313586831586,-58.39692519686949,COMUNA 02,145000
272,1,45,1,-34.589238415613224,-58.39107267892812,COMUNA 02,570000
105,3,60,1,-34.59160189040411,-58.39805570357451,COMUNA 02,245000
70,2,40,1,-34.586466331664816,-58.406526198857534,COMUNA 02,163000
105,3,80,2,-34.60995500774805,-58.401668353163885,COMUNA 03,155000
70,3,10,2,-34.58466176218895,-58.511613780112384,COMUNA 12,120000
50,2,3,1,-34.55177793732059,-58.455334088105936,COMUNA 13,137000
100,4,20,2,-34.61763577002471,-58.43817820588286,COMUNA 06,225000
70,3,50,1,-34.624335872178705,-58.3739864170654,COMUNA 01,130000
36,2,20,1,-34.59173650928893,-58.43940197157836,COMUNA 15,78900
55,3,20,1,-34.614697310802185,-58.40459618178996,COMUNA 03,119900
39,2,20,1,-34.61144251421705,-58.43140354073844,COMUNA 06,81000
73,3,50,1,-34.615745019924695,-58.49790079173231,COMUNA 10,137000
70,3,20,1,-34.583421187819226,-58.42118929969406,COMUNA 14,170000
51,2,40,1,-34.60417027335155,-58.38779922168556,COMUNA 01,86000
125,4,20,2,-34.6155758331857,-58.38800032704632,COMUNA 01,260000
201,4,31,2,-34.56179942623591,-58.44421188732735,COMUNA 13,600000
58,3,4,1,-34.56904350977775,-58.477177633064244,COMUNA 12,165000
40,2,20,1,-34.600526026798704,-58.43132302920594,COMUNA 15,89000
300,5,10,1,-34.545105296392485,-58.47283518420139,COMUNA 12,445000
39,2,35,1,-34.623505341316616,-58.37691019828951,COMUNA 01,73000
42,2,20,1,-34.623463832827824,-58.37709249906617,COMUNA 01,69000
92,4,5,2,-34.562034014650486,-58.46821195962866,COMUNA 12,240000
186,4,20,2,-34.595800419909374,-58.38694234924852,COMUNA 01,430000
105,3,50,2,-34.58836939074246,-58.38826629766448,COMUNA 02,320000
59,3,7,1,-34.583709289730876,-58.49396131253084,COMUNA 12,151000
25,1,5,1,-34.581779694486016,-58.433446603427385,COMUNA 14,75000
25,1,5,1,-34.581779694486016,-58.433446603427385,COMUNA 14,75000
26,1,5,1,-34.59637959380494,-58.44271268468354,COMUNA 15,60000
65,2,2,1,-34.62525260545126,-58.36638114359459,COMUNA 04,180000
58,3,40,1,-34.56701755771044,-58.45791589428771,COMUNA 13,124000
47,2,50,1,-34.58629675609105,-58.419710847617566,COMUNA 14,135000
50,2,1,1,-34.553972758514384,-58.49434612527763,COMUNA 12,108000
60,3,10,1,-34.68491929893829,-58.46828744972042,COMUNA 08,65000
82,4,50,1,-34.581613673662474,-58.405319072020426,COMUNA 14,215000
112,3,5,2,-34.614706100201715,-58.36201822916328,COMUNA 01,550000
123,4,45,1,-34.59299931507306,-58.400277145663566,COMUNA 02,330000
26,2,20,1,-34.610850468223056,-58.41505653108123,COMUNA 05,69900
65,2,20,1,-34.572743278950554,-58.43007286713358,COMUNA 14,175000
36,2,50,1,-34.617298722680744,-58.37733200308801,COMUNA 01,68900
33,1,20,1,-34.603580498026965,-58.378109876190045,COMUNA 01,79000
154,3,12,2,-34.57744719478611,-58.42275202241272,COMUNA 14,399000
